Nombre,Categrias,Latitud,Longitud,Distancia,Avenida
The St. Regis Mexico City,Lodging,19.4256338,-99.1720892,42.0,Paseo de la Reforma
Los Canarios,Mexican Restaurant,19.424584278702152,-99.17321174409534,126.0,Paseo de la Reforma
Hotel Marquis Reforma,Hotel,19.424778971365804,-99.17367710456195,159.0,Paseo de la Reforma
Frutos Prohibidos,Salad Restaurant,19.42403162833254,-99.17279056917533,150.0,Paseo de la Reforma
Sport City Executive Club,Gym and Studio,19.424148107142585,-99.1742365697298,242.0,Paseo de la Reforma
CNN México,Office,19.426115374478748,-99.17015297913986,239.0,Paseo de la Reforma
Hotel Four Seasons México,Hotel,19.422832919566975,-99.1742754760949,345.0,Paseo de la Reforma
El Califa,Taco Restaurant,19.425632817476966,-99.16962261282956,278.0,Paseo de la Reforma
Salón Ríos,Latin American Restaurant,19.427346360910793,-99.17128066170861,250.0,Paseo de la Reforma
Torre BBVA,Office,19.42299532517897,-99.17492999753556,378.0,Paseo de la Reforma
Churrería el Moro,Bakery,19.428241890391178,-99.1694376213723,441.0,Paseo de la Reforma
Monumento a la Independencia,Monument,19.426982,-99.167651,518.0,Paseo de la Reforma
El Pialadero de Guadalajara,Mexican Restaurant,19.421613,-99.174275,459.0,Paseo de la Reforma
Tierra Garat,Coffee Shop,19.425102,-99.174775,264.0,Paseo de la Reforma
La Casa de Toño,Restaurant,19.424880086287644,-99.16518769362159,742.0,Paseo de la Reforma
Sofitel Mexico City Reforma,Lodging,19.428307,-99.165767,758.0,Paseo de la Reforma
Cafebreria el Pendulo,Bookstore,19.426029014899097,-99.16503176481122,761.0,Paseo de la Reforma
Glorieta de la Cibeles,Sculpture Garden,19.420013640196093,-99.16636502090653,851.0,Paseo de la Reforma
Contramar,Seafood Restaurant,19.41978542742094,-99.16714497132156,813.0,Paseo de la Reforma
La Casa de Toño,Restaurant,19.425249790847047,-99.16444908949815,818.0,Paseo de la Reforma
Toledo Rooftop,Lounge,19.4222,-99.171901,345.0,Paseo de la Reforma
Pasteleria la Esperanza,Bakery,19.422528,-99.170437,361.0,Paseo de la Reforma
Hotel Fiesta Americana Grand,Hotel,19.424984942719306,-99.17833780601683,637.0,Paseo de la Reforma
Smart Fit,Gym and Studio,19.420726236255025,-99.17106364846153,522.0,Paseo de la Reforma
Esperanza,Bakery,19.42019902184982,-99.17817118156134,839.0,Paseo de la Reforma
Altar a los Defensores de la Patria,Sculpture Garden,19.421659899636285,-99.17905016560533,818.0,Paseo de la Reforma
Tacos Orinoco,Taco Restaurant,19.425721,-99.16692,561.0,Paseo de la Reforma
Cielito Querido Café,"Cafes, Coffee, and Tea Houses",19.427641822695676,-99.1647323864219,830.0,Paseo de la Reforma
Lardo,Mediterranean Restaurant,19.41799312324725,-99.17521923936374,868.0,Paseo de la Reforma
Petco Express,Pet Supplies Store,19.416336845028006,-99.16883128262016,1057.0,Paseo de la Reforma
Camino Real,Hotel,19.427919,-99.179426,805.0,Paseo de la Reforma
Niddo,Café,19.424586,-99.169242,325.0,Paseo de la Reforma
Le Bistro Palacio,Bistro,19.41843324847605,-99.16933985372137,821.0,Paseo de la Reforma
Mexico City Marriott Reforma Hotel,Lodging,19.4280191,-99.1642669,890.0,Paseo de la Reforma
Farmacia San Pablo,Drugstore,19.434016060016344,-99.16776789033422,1077.0,Paseo de la Reforma
Fisher's Roma,Seafood Restaurant,19.41999358275181,-99.1672486257129,788.0,Paseo de la Reforma
Yutumy Street Sushi,Sushi Restaurant,19.423166,-99.16318,980.0,Paseo de la Reforma
Churrería el Moro,Coffee Shop,19.426067205212238,-99.1639404065448,876.0,Paseo de la Reforma
Pasteleria Suiza,Bakery,19.416333615754297,-99.16993410674003,1024.0,Paseo de la Reforma
Doña Blanca,"Cafes, Coffee, and Tea Houses",19.429438273720567,-99.17306324070893,468.0,Paseo de la Reforma
Parque España,Playground,19.414891,-99.171325,1159.0,Paseo de la Reforma
Tierra Garat,Coffee Shop,19.429647,-99.16303,1081.0,Paseo de la Reforma
Starbucks,"Cafes, Coffee, and Tea Houses",19.427420782546566,-99.16647141609624,651.0,Paseo de la Reforma
Nadefo,Korean Restaurant,19.423213670055503,-99.16649487402572,646.0,Paseo de la Reforma
Taquería Orinoco,Taco Restaurant,19.417644,-99.164917,1146.0,Paseo de la Reforma
Galeria Plaza Hotel,Hotel,19.424777400175074,-99.16771232278211,479.0,Paseo de la Reforma
La Cervecería de Barrio,Bar,19.419781380088555,-99.16687751777043,832.0,Paseo de la Reforma
Laa Casa de Tono,Mexican Restaurant,19.43156649314058,-99.16242940236215,1244.0,Paseo de la Reforma
Sushi Roll,Sushi Restaurant,19.425719017544026,-99.16451456607147,813.0,Paseo de la Reforma
Starbucks,"Cafes, Coffee, and Tea Houses",19.4286750994637,-99.16334643906146,1006.0,Paseo de la Reforma
